text,source,timestamp,language
La actualización más reciente mejoró mucho el rendimiento. ¡Genial!,twitter,2024-02-01 06:43:48,Spanish
Deux semaines sans réponse du support. C'est inadmissible.,support_ticket,2024-02-01 16:28:13,French
Seit zwei Wochen keine Antwort vom Support. Das ist inakzeptabel.,support_ticket,2024-02-02 08:09:53,German
サポートに問い合わせて2週間経ちますが、まだ返答がありません。,twitter,2024-02-03 11:01:03,Japanese
Seit zwei Wochen keine Antwort vom Support. Das ist inakzeptabel.,chat,2024-02-04 16:42:07,German
Das neue Design ist gewöhnungsbedürftig. Bin noch unentschieden.,twitter,2024-02-05 12:11:30,German
"Viel zu viele Werbeanzeigen, selbst in der bezahlten Version. Nicht empfehlenswert.",chat,2024-02-05 13:47:30,German
Das letzte Update hat viele nützliche Funktionen gebracht. Sehr zufrieden!,support_ticket,2024-02-06 04:50:05,German
El nuevo diseño es diferente. Aún no sé si me gusta más que el anterior.,twitter,2024-02-06 12:17:41,Spanish
The app crashes every time I try to export a report. Completely unusable.,chat,2024-02-07 02:12:47,English
The app crashes every time I try to export a report. Completely unusable.,chat,2024-02-07 10:48:49,English
"Decent product overall. Nothing exceptional, but it gets the job done.",support_ticket,2024-02-08 16:04:05,English
La qualité du produit est bien en dessous de ce qui était annoncé.,support_ticket,2024-02-08 16:52:03,French
The app crashes every time I try to export a report. Completely unusable.,chat,2024-02-09 07:41:30,English
I was charged twice for my subscription and nobody seems to care.,twitter,2024-02-09 13:46:33,English
Das Produkt war bei Lieferung beschädigt und die Rückgabe ist kompliziert.,chat,2024-02-09 20:24:45,German
"Viel zu viele Werbeanzeigen, selbst in der bezahlten Version. Nicht empfehlenswert.",twitter,2024-02-09 23:15:43,German
Der Kundenservice hat mir innerhalb einer Stunde geholfen. Top!,twitter,2024-02-10 00:03:06,German
最新のアップデート後、バッテリーの消耗が激しくなりました。非常に困っています。,twitter,2024-02-10 02:29:06,Japanese
"Die App stürzt ständig ab, seit dem letzten Update. Sehr enttäuschend.",support_ticket,2024-02-10 16:09:18,German
Perdí todos mis datos tras la migración. Estoy muy decepcionado.,twitter,2024-02-10 17:17:27,Spanish
The new design is different. Not sure if I prefer it over the old one yet.,twitter,2024-02-10 22:38:40,English
アプリが頻繁にクラッシュして仕事になりません。早急に修正してください。,chat,2024-02-13 00:27:02,Japanese
Der Kundenservice hat mir innerhalb einer Stunde geholfen. Top!,chat,2024-02-13 12:10:58,German
Works as expected. Would appreciate more customization options in future updates.,chat,2024-02-13 19:28:58,English
"Exactly what I was looking for. Simple, elegant, and powerful.",chat,2024-02-14 06:13:41,English
基本的な機能は問題なく使えますが、もう少し高度な機能が欲しいです。,support_ticket,2024-02-14 06:57:59,Japanese
La qualité du produit est bien en dessous de ce qui était annoncé.,twitter,2024-02-15 04:01:04,French
I was charged twice for my subscription and nobody seems to care.,support_ticket,2024-02-16 01:51:51,English
アプリが頻繁にクラッシュして仕事になりません。早急に修正してください。,support_ticket,2024-02-16 14:11:36,Japanese
Connection drops constantly. I can't rely on this for my business anymore.,support_ticket,2024-02-16 19:43:50,English
Deux semaines sans réponse du support. C'est inadmissible.,twitter,2024-02-17 12:05:49,French
Way too many ads. I'm paying for premium and still seeing banner ads everywhere.,support_ticket,2024-02-17 20:05:25,English
基本的な機能は問題なく使えますが、もう少し高度な機能が欲しいです。,support_ticket,2024-02-18 07:12:48,Japanese
Works as expected. Would appreciate more customization options in future updates.,chat,2024-02-18 13:55:16,English
アプリが頻繁にクラッシュして仕事になりません。早急に修正してください。,support_ticket,2024-02-19 09:27:42,Japanese
普通の製品です。特に不満はありませんが、特筆すべき点もありません。,chat,2024-02-19 14:28:16,Japanese
The latest update fixed every issue I had. Developers really listen to feedback.,support_ticket,2024-02-22 11:53:47,English
Das Produkt war bei Lieferung beschädigt und die Rückgabe ist kompliziert.,twitter,2024-02-22 17:38:10,German
Best customer experience I've had in years. The support team truly cares.,chat,2024-02-23 14:57:38,English
"Ganz okay. Nichts Besonderes, aber es erfüllt seinen Zweck.",support_ticket,2024-02-23 20:00:44,German
Rapport qualité-prix imbattable. Je suis client fidèle depuis un an.,chat,2024-02-24 00:26:22,French
"Die App stürzt ständig ab, seit dem letzten Update. Sehr enttäuschend.",twitter,2024-02-24 16:42:15,German
普通の製品です。特に不満はありませんが、特筆すべき点もありません。,twitter,2024-02-26 01:23:17,Japanese
Great value for the price. I've recommended it to all my coworkers.,chat,2024-02-26 01:35:21,English
El servicio al cliente fue excelente. Resolvieron mi problema en minutos.,chat,2024-02-26 13:04:52,Spanish
Honestly disappointed. The features advertised on the website don't actually exist.,chat,2024-02-28 05:42:31,English
I was charged twice for my subscription and nobody seems to care.,twitter,2024-02-28 06:29:34,English
基本的な機能は問題なく使えますが、もう少し高度な機能が欲しいです。,support_ticket,2024-02-29 07:26:20,Japanese
"Viel zu viele Werbeanzeigen, selbst in der bezahlten Version. Nicht empfehlenswert.",twitter,2024-02-29 12:45:41,German
